"","Kentropyx_spp.","Arthrosaura_reticulata","Leposoma_spp.","Gonatodes_humeralis","Ameiva_ameiva","Copeoglossum_nigropuntactum","Norops_spp.","Plica_umbra","Pseudogonatodes_guianensis","Amphisbaena_fuliginosa","Chatogekus_amazonicus","Ptychoglossus_brevifrontalis","Tetrioscincus_agilis","Bachia_panoplia"
"Abusado",1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Andre",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bacaba",1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Beco_do_Catitu",1,1,1,1,1,1,1,1,1,0,0,0,0,0
"Cipoal",1,1,0,1,1,1,1,1,1,1,0,0,0,0
"Coata",1,1,1,1,1,0,0,0,1,0,0,0,0,0
"Formiga",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Furo_de_Santa_Luzia",1,1,1,1,1,0,1,1,1,0,1,1,0,0
"Fuzaca",1,1,1,0,1,1,0,1,1,1,0,0,1,0
"Garrafa",1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Mascote",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"Moita",1,1,1,0,1,1,1,1,0,0,0,0,0,1
"Neto",1,1,1,0,1,1,0,0,0,1,0,0,0,0
"Palhal",1,1,1,0,1,0,0,1,0,0,0,0,0,0
"Panema",1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Pe_Torto",1,1,0,1,1,0,0,0,1,0,0,0,0,0
"Pontal",1,1,1,0,1,0,0,1,0,0,0,0,0,0
"Porto_Seguro",1,1,1,1,1,1,1,1,0,0,1,0,1,0
"Relogio",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"Sapupara",1,1,1,0,1,0,1,1,0,0,0,0,0,0
"Torem",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristeza",1,1,0,0,0,0,0,1,0,0,0,0,0,0
"TF1",1,1,0,1,0,0,0,1,1,0,1,0,1,0
"TF2",1,1,1,0,1,0,0,1,1,0,1,0,1,0
"TF3",1,1,1,0,1,1,0,1,1,1,0,0,1,0
